Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,250,15,▲,92,51
Wyoming,243,8,▲,84,44
Massachusetts,242,7,▲,79,43
Nebraska,242,7,▲,80,43
Florida,241,6,▲,81,41
Wisconsin,240,5,▲,79,43
North Dakota,240,5,▲,81,40
Iowa,240,5,▲,80,40
Utah,240,5,▲,78,42
New Hampshire,239,5,▲,80,40
New Jersey,239,4,▲,77,39
Indiana,239,4,▲,78,40
Minnesota,239,4,▲,78,41
South Dakota,239,4,▲,80,40
Texas,239,4,▲,78,38
Montana,239,4,▲,80,38
Ohio,238,3,▲,76,40
Pennsylvania,238,3,♦,76,40
Illinois,237,2,♦,76,38
Hawaii,237,2,♦,77,37
Virginia,236,1,♦,75,38
Connecticut,236,1,♦,74,37
Tennessee,236,1,♦,76,36
Idaho,236,1,♦,76,36
Colorado,236,1,♦,75,36
North Carolina,236,1,♦,75,35
Kansas,235,#,♦,75,35
Washington,235,#,♦,74,35
Georgia,235,#,♦,75,34
National public,235,†,,74,35
Vermont,234,-1,♦,74,34
South Carolina,234,-1,♦,74,34
Rhode Island,234,-1,♦,74,34
Kentucky,234,-1,♦,75,33
Mississippi,234,-1,♦,74,32
Maine,233,-2,♦,75,32
Missouri,232,-2,♦,72,34
Michigan,232,-3,♦,71,32
Arizona,232,-3,♦,70,32
California,230,-4,▼,67,30
Alabama,230,-5,▼,71,27
Oklahoma,229,-5,▼,71,27
Nevada,229,-6,▼,69,28
Maryland,229,-6,▼,65,31
Louisiana,229,-6,▼,69,27
Oregon,228,-7,▼,66,29
Arkansas,228,-7,▼,69,28
New York,227,-8,▼,66,28
West Virginia,226,-9,▼,67,23
Alaska,226,-9,▼,65,28
Delaware,226,-9,▼,64,26
District of Columbia,223,-12,▼,57,24
New Mexico,221,-14,▼,60,19
Puerto Rico,178,-57,▼,10,#
